,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,,,
1,,,North America,,"103,258,063","+1,688","1,479,802",+11,"97,104,243","+4,032","4,674,018","8,172",,,,,,North America,,,,,,,
2,,,Asia,,"158,968,791","+44,506","1,435,200",+21,"152,984,004","+58,928","4,549,587","10,586",,,,,,Asia,,,,,,,
3,,,South America,,"58,505,649",,"1,301,112",,"55,484,071",,"1,720,466","10,530",,,,,,South America,,,,,,,
4,,,Europe,,"198,863,765",,"1,847,912",,"190,430,479","+13,837","6,585,374","5,766",,,,,,Europe,,,,,,,
5,,,Oceania,,"9,218,629","+23,589","13,084",+44,"8,848,744","+5,878","356,801",126,,,,,,Australia/Oceania,,,,,,,
6,,,Africa,,"12,207,688",,"255,338",,"11,414,180",,"538,170",988,,,,,,Africa,,,,,,,
7,,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
8,,World,"541,023,306","+69,783","6,332,463",+76,"516,266,427","+82,647","18,424,416","36,168","69,408",812.4,,,,All,,,,,,,,,
9,1,USA,"87,424,846",,"1,036,084 ",,"83,245,798",,"3,142,964","2,800","261,144","3,095","1,040,105,263","3,106,865","334,776,423 ",North America,43230,,,"9,388",,,,,
10,2,India,"43,235,241",,"524,771 ",,"42,657,335",,"53,135",698,"30,742",373,"855,108,879","608,019","1,406,384,242 ",Asia,"332,6802",,,38,,,,,
11,3,Brazil,"31,497,038",,"668,230 ",,"30,219,236",,"609,572","8,318","146,160","3,101","63,776,166","295,949","215,497,163 ",South America,73223,,,"2,829",,,,,
12,4,France,"29,858,393",,"148,841 ",,"29,242,524",,"467,028",869,"455,476","2,270","271,490,188","4,141,455","65,554,307 ",Europe,24400,,,"7,124",,,,,
13,5,Germany,"26,886,447",,"140,213 ",,"25,939,900",,"806,334",631,"318,920","1,663","122,332,384","1,451,073","84,304,782 ",Europe,36011,,,"9,565",,,,,
14,6,UK,"22,410,583",,"179,274 ",,"22,045,389",,"185,920",188,"326,783","2,614","522,526,476","7,619,299","68,579,336 ",Europe,33830,,,"2,711",,,,,
15,7,Russia,"18,379,583",,"380,076 ",,"17,798,245",,"201,262","2,300","125,839","2,602","273,400,000","1,871,883","146,056,108 ",Europe,83841,,,"1,378",,,,,
16,8,S. Korea,"18,239,056","+9,768","24,390 ",+2,"18,028,899","+16,550","185,767",98,"355,157",475,"15,804,065","307,742","51,354,960 ",Asia,"32,1063",190,0.04,"3,617",,,,,
17,9,Italy,"17,664,043",,"167,432 ",,"16,879,683",,"616,928",193,"292,989","2,777","223,100,172","3,700,512","60,289,007 ",Europe,33600,,,"10,233",,,,,
18,10,Turkey,"15,072,747",,"98,965 ",,"14,971,256",,"2,526",975,"175,054","1,149","162,743,369","1,890,088","86,103,597 ",Asia,68701,,,29,,,,,
19,11,Spain,"12,478,994",,"107,108 ",,"11,939,322",,"432,564",339,"266,702","2,289","471,036,328","10,067,034","46,789,983 ",Europe,44370,,,"9,245",,,,,
20,12,Vietnam,"10,732,429",,"43,083 ",,"9,562,523",,"1,126,823",53,"108,363",435,"85,820,575","866,512","99,041,436 ",Asia,"92,2991",,,"11,377",,,,,
21,13,Argentina,"9,313,453",,"128,994 ",,"8,895,999",,"288,460",344,"202,457","2,804","35,716,069","776,400","46,002,135 ",South America,53571,,,"6,271",,,,,
22,14,Japan,"9,051,732",,"30,891 ",,"8,860,780",,"160,061",61,"71,997",246,"53,970,927","429,281","125,723,891 ",Asia,"144,0702",,,"1,273",,,,,
23,15,Netherlands,"8,107,944",,"22,336 ",,"8,046,107",,"39,501",33,"471,157","1,298","21,107,399","1,226,563","17,208,579 ",Europe,27701,,,"2,295",,,,,
24,16,Australia,"7,651,684","+17,234","9,083 ",+25,"7,388,112",,"254,489",93,"293,447",348,"72,798,786","2,791,885","26,075,142 ",Australia/Oceania,"32,8710",661,1.0,"9,760",,,,,
25,17,Iran,"7,233,880",,"141,352 ",,"7,059,253",,"33,275",361,"84,034","1,642","52,298,398","607,533","86,083,213 ",Asia,126092,,,387,,,,,
26,18,Colombia,"6,117,847",,"139,894 ",,"5,943,925",,"34,028",342,"117,793","2,694","35,175,528","677,268","51,937,378 ",South America,83711,,,655,,,,,
27,19,Indonesia,"6,061,079",,"156,652 ",,"5,899,501",,"4,926","2,771","21,713",561,"99,626,689","356,897","279,147,249 ",Asia,"461,7823",,,18,,,,,
28,20,Poland,"6,010,090",,"116,371 ",,"5,335,564",,"558,155",408,"159,140","3,081","36,412,734","964,166","37,766,035 ",Europe,63251,,,"14,779",,,,,
29,21,Mexico,"5,825,532","+1,688","325,205 ",+11,"5,092,901","+4,032","407,426","4,798","44,278","2,472","16,170,788","122,910","131,566,572 ",North America,234058,13,0.08,"3,097",,,,,
30,22,Ukraine,"5,014,929",,"108,605 ",,N/A,N/A,N/A,177,"116,024","2,513","19,521,252","451,639","43,223,130 ",Europe,93982,,,"19,626",,,,,
31,23,Portugal,"4,917,127",,"23,531 ",,"4,290,461","+9,089","603,135",61,"484,975","2,321","42,825,431","4,223,865","10,138,920 ",Europe,24310,,,"59,487",,,,,
32,24,Malaysia,"4,528,390",,"35,716 ",,"4,470,067",,"22,607",26,"136,511","1,077","60,355,132","1,819,445","33,172,274 ",Asia,79291,,,682,,,,,
33,25,DPRK,"4,502,330","+32,810",72 ,,"4,444,480","+40,270","57,778",,"173,177",3,,,"25,998,461 ",Asia,"6361,090","1,262",,"2,222",,,,,
34,26,Thailand,"4,488,497","+1,833","30,371 ",+19,"4,436,684","+2,155","21,442","1,496","63,993",433,"17,270,775","246,231","70,140,482 ",Asia,"162,3094",26,0.3,306,,,,,
35,27,Austria,"4,294,321",,"18,699 ",,"4,231,207",,"44,415",36,"471,576","2,053","188,792,612","20,732,065","9,106,310 ",Europe,24870,,,"4,877",,,,,
36,28,Israel,"4,189,858",,"10,882 ",,"4,149,569",,"29,407",150,"449,266","1,167","41,373,364","4,436,346","9,326,000 ",Asia,28570,,,"3,153",,,,,
37,29,Belgium,"4,170,252",,"31,816 ",,"4,090,549","+3,343","47,887",66,"356,807","2,722","34,197,937","2,925,980","11,687,686 ",Europe,33670,,,"4,097",,,,,
38,30,South Africa,"3,979,126",,"101,509 ",,"3,856,957",,"20,660",192,"65,486","1,671","25,504,687","419,743","60,762,580 ",Africa,155992,,,340,,,,,
39,31,Czechia,"3,923,029",,"40,302 ",,"3,881,699",,"1,028",2,"365,014","3,750","55,462,528","5,160,455","10,747,604 ",Europe,32670,,,96,,,,,
40,32,Canada,"3,899,493",,"41,527  ",,"3,546,436",,"311,530",252,"101,588","1,082","62,220,040","1,620,923","38,385,559 ",North America,109241,,,"8,116",,,,,
41,33,Chile,"3,829,119",,"58,109 ",,"3,542,787",,"228,223",156,"197,019","2,990","39,436,831","2,029,140","19,435,247 ",South America,53340,,,"11,743",,,,,
42,34,Philippines,"3,693,608",,"60,461 ",,"3,630,050",,"3,097",440,"32,856",538,"30,440,249","270,780","112,416,830 ",Asia,"301,8594",,,28,,,,,
43,35,Switzerland,"3,667,742",,"13,967 ",,"3,625,749","+1,526","28,026",44,"417,849","1,591","21,153,745","2,409,947","8,777,680 ",Europe,26280,,,"3,193",,,,,
44,36,Peru,"3,591,816",,"213,338 ",,"3,367,622",,"10,856",140,"106,063","6,300","31,020,248","916,001","33,864,868 ",South America,91591,,,321,,,,,
45,37,Greece,"3,500,489",,"30,020 ",,"3,423,217",,"47,252",110,"339,060","2,908","83,576,762","8,095,305","10,324,103 ",Europe,33440,,,"4,577",,,,,
46,38,Denmark,"2,992,597",,"6,414 ",,"2,977,628",,"8,555",9,"513,146","1,100","127,533,042","21,868,338","5,831,858 ",Europe,29090,,,"1,467",,,,,
47,39,Taiwan,"2,937,363",,"4,280 ",,"1,464,711",,"1,468,372",,"122,899",179,"19,607,043","820,358","23,900,579 ",Asia,"85,5841",,,"61,437",,,,,
48,40,Romania,"2,912,878",,"65,714 ",,"2,842,802",,"4,362",48,"153,404","3,461","23,326,374","1,228,461","18,988,290 ",Europe,72891,,,230,,,,,
49,41,Sweden,"2,510,930",,"19,016 ",,"2,486,355",,"5,559",6,"245,647","1,860","18,622,701","1,821,879","10,221,702 ",Europe,45381,,,544,,,,,
50,42,Iraq,"2,330,049",,"25,223 ",,"2,303,357",,"1,469",9,"55,508",601,"18,647,439","444,228","41,977,141 ",Asia,"181,6642",,,35,,,,,
51,43,Serbia,"2,020,596",,"16,101 ",,"2,000,165",,"4,330",10,"233,084","1,857","9,793,592","1,129,730","8,668,966 ",Europe,45381,,,499,,,,,
52,44,Bangladesh,"1,954,243",,"29,131 ",,"1,905,337",,"19,775","1,328","11,641",174,"14,191,162","84,532","167,879,547 ",Asia,"865,76312",,,118,,,,,
53,45,Hungary,"1,921,486",,"46,571 ",,"1,853,094",,"21,821",8,"199,891","4,845","11,394,556","1,185,368","9,612,671 ",Europe,52061,,,"2,270",,,,,
54,46,Slovakia,"1,791,220",,"20,116 ",,"1,769,349",,"1,755",17,"327,775","3,681","7,159,130","1,310,048","5,464,783 ",Europe,32721,,,321,,,,,
55,47,Jordan,"1,697,271",,"14,068 ",,"1,682,962",,241,124,"163,198","1,353","16,834,239","1,618,665","10,400,076 ",Asia,67391,,,23,,,,,
56,48,Georgia,"1,658,240",,"16,826 ",,"1,637,293",,"4,121",,"417,243","4,234","16,920,079","4,257,392","3,974,283 ",Asia,22360,,,"1,037",,,,,
57,49,Ireland,"1,570,519",,"7,383 ",,"1,547,727",,"15,409",22,"311,300","1,463","12,293,825","2,436,820","5,045,028 ",Europe,36830,,,"3,054",,,,,
58,50,Pakistan,"1,531,271",,"30,381 ",,"1,496,123",,"4,767",50,"6,680",133,"28,750,229","125,420","229,230,939 ",Asia,"1507,5458",,,21,,,,,
59,51,Norway,"1,437,343",,"3,210 ",,"1,429,621",,"4,512",20,"261,161",583,"11,002,430","1,999,111","5,503,661 ",Europe,"41,7151",,,820,,,,,
60,52,Singapore,"1,343,645",,"1,398 ",,"1,263,653",,"78,594",3,"226,210",235,"23,877,882","4,019,980","5,939,801 ",Asia,"44,2490",,,"13,232",,,,,
61,53,Kazakhstan,"1,305,867",,"13,663 ",,"1,292,109",,95,24,"67,966",711,"11,575,012","602,445","19,213,392 ",Asia,"151,4062",,,5,,,,,
62,54,New Zealand,"1,248,852","+6,355","1,286 ",+19,"1,205,144","+5,878","42,422",,"249,666",257,"71,423,774","14,278,758","5,002,100 ",Australia/Oceania,"43,8900","1,270",4,"8,481",,,,,
63,55,Hong Kong,"1,219,912",,"9,390 ",,"1,197,195",,"13,327",5,"160,194","1,233","49,428,776","6,490,771","7,615,239 ",Asia,68110,,,"1,750",,,,,
64,56,Morocco,"1,176,165",,"16,082 ",,"1,154,116",,"5,967",293,"31,147",426,"11,743,336","310,990","37,761,188 ",Africa,"322,3483",,,158,,,,,
65,57,Bulgaria,"1,167,147",,"37,204 ",,"1,063,059",,"66,884",29,"170,466","5,434","10,051,305","1,468,030","6,846,797 ",Europe,61841,,,"9,769",,,,,
66,58,Croatia,"1,139,835",,"16,019 ",,"1,122,161",,"1,655",6,"281,020","3,949","4,905,321","1,209,379","4,056,066 ",Europe,42531,,,408,,,,,
67,59,Finland,"1,114,573",,"4,714 ",,N/A,N/A,N/A,21,"200,555",848,"10,977,262","1,975,233","5,557,453 ",Europe,"51,1791",,,"191,429",,,,,
68,60,Cuba,"1,105,631",,"8,529 ",,"1,096,934",,168,23,"97,729",754,"13,852,049","1,224,417","11,313,177 ",North America,"101,3261",,,15,,,,,
69,61,Lebanon,"1,101,247",,"10,446 ",,"1,087,510",,"3,291",186,"162,761","1,544","4,795,578","708,772","6,766,038 ",Asia,66481,,,486,,,,,
70,62,Lithuania,"1,064,064",,"9,155 ",,"1,037,434",,"17,475",5,"401,761","3,457","9,989,932","3,771,924","2,648,498 ",Europe,22890,,,"6,598",,,,,
71,63,Tunisia,"1,043,540",,"28,648 ",,N/A,N/A,N/A,29,"86,536","2,376","4,640,840","384,842","12,059,066 ",Africa,124213,,,-983.82,,,,,
72,64,Slovenia,"1,028,370",,"6,644 ",,"1,017,602",,"4,124",6,"494,529","3,195","2,673,070","1,285,443","2,079,493 ",Europe,23131,,,"1,983",,,,,
73,65,Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,081",739,"13,220,483","1,399,988","9,443,281 ",Europe,"101,3531",,,"5,014",,,,,
74,66,Nepal,"979,271",,"11,952 ",,"967,217",,102,,"32,474",396,"5,730,656","190,036","30,155,659 ",Asia,"312,5235",,,3,,,,,
75,67,Uruguay,"943,877",,"7,290 ",,"928,373",,"8,214",18,"269,900","2,085","6,114,822","1,748,523","3,497,135 ",South America,44801,,,"2,349",,,,,
76,68,Mongolia,"926,282",,"2,179 ",,N/A,N/A,N/A,192,"273,972",644,"4,030,048","1,191,994","3,380,931 ",Asia,"41,5521",,,"180,674",,,,,
77,69,UAE,"918,815",,"2,305 ",,"900,358",,"16,152",,"90,767",228,"165,324,919","16,332,028","10,122,743 ",Asia,"114,3920",,,"1,596",,,,,
78,70,Bolivia,"912,473",,"21,951 ",,"875,545",,"14,977",220,"76,150","1,832","2,705,422","225,779","11,982,608 ",South America,135464,,,"1,250",,,,,
79,71,Costa Rica,"904,934",,"8,525 ",,"860,711",,"35,698",52,"174,544","1,644","4,659,757","898,775","5,184,562 ",North America,66081,,,"6,885",,,,,
80,72,Panama,"892,455",,"8,307 ",,"862,527",,"21,621",16,"200,695","1,868","6,416,881","1,443,026","4,446,824 ",North America,55351,,,"4,862",,,,,
81,73,Ecuador,"890,852",,"35,659 ",,N/A,N/A,N/A,759,"49,045","1,963","2,470,170","135,993","18,163,935 ",South America,205097,,,"22,644",,,,,
82,74,Guatemala,"871,263",,"18,293 ",,"845,301",,"7,669",5,"46,943",986,"4,756,204","256,263","18,559,873 ",North America,"211,0154",,,413,,,,,
83,75,Latvia,"830,698",,"5,839 ",,"822,583",,"2,276",6,"450,077","3,164","7,288,563","3,948,985","1,845,680 ",Europe,23160,,,"1,233",,,,,
84,76,Azerbaijan,"792,847",,"9,714 ",,"783,019",,114,,"76,850",942,"6,901,005","668,905","10,316,866 ",Asia,"131,0621",,,11,,,,,
85,77,Saudi Arabia,"778,983",,"9,175 ",,"760,490",,"9,318",91,"21,718",256,"42,947,407","1,197,374","35,867,993 ",Asia,"463,9091",,,260,,,,,
86,78,Sri Lanka,"663,960",,"16,519 ",,"646,983",,458,,"30,756",765,"6,486,117","300,453","21,587,805 ",Asia,"331,3073",,,21,,,,,
87,79,Paraguay,"652,044",,"18,932 ",,"624,673",,"8,439",2,"89,286","2,592","2,646,163","362,345","7,302,885 ",South America,113863,,,"1,156",,,,,
88,80,Kuwait,"636,240",,"2,555 ",,"631,350",,"2,335",22,"144,818",582,"8,149,895","1,855,046","4,393,366 ",Asia,"71,7201",,,531,,,,,
89,81,Myanmar,"613,452",,"19,434 ",,"592,432",,"1,586",,"11,130",353,"8,284,098","150,295","55,118,982 ",Asia,"902,8367",,,29,,,,,
90,82,Bahrain,"597,184",,"1,489 ",,"587,483",,"8,212",4,"328,749",820,"9,915,021","5,458,208","1,816,534 ",Asia,"31,2200",,,"4,521",,,,,
91,83,Dominican Republic,"592,578",,"4,382 ",,"584,682",,"3,514",19,"53,581",396,"3,411,051","308,429","11,059,420 ",North America,"192,5243",,,318,,,,,
92,84,Palestine,"582,669",,"5,356 ",,"577,132",,181,17,"109,279","1,005","3,078,533","577,375","5,331,948 ",Asia,99962,,,34,,,,,
93,85,Estonia,"577,655",,"2,574 ",,"520,451",,"54,630",5,"434,893","1,938","3,386,999","2,549,935","1,328,269 ",Europe,25160,,,"41,129",,,,,
94,86,Venezuela,"524,291",,"5,724 ",,"517,421",,"1,146",230,"18,540",202,"3,359,014","118,780","28,279,333 ",South America,"544,9408",,,41,,,,,
95,87,Moldova,"519,234",,"11,554 ",,"504,142",,"3,538",49,"129,300","2,877","3,216,305","800,925","4,015,739 ",Europe,83481,,,881,,,,,
96,88,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,861",232,"3,693,367","34,815","106,086,832 ",Africa,"2064,31029",,,460,,,,,
97,89,Libya,"502,040",,"6,430 ",,"490,973",,"4,637",101,"71,181",912,"2,477,219","351,231","7,052,961 ",Africa,"141,0973",,,657,,,,,
98,90,Cyprus,"491,777",,"1,067 ",,"124,370",,"366,340",60,"401,632",871,"9,477,138","7,739,927","1,224,448 ",Asia,"21,1480",,,"299,188",,,,,
99,91,Ethiopia,"479,484",,"7,517 ",,"456,866",,"15,101",35,"3,979",62,"4,988,019","41,395","120,499,230 ",Africa,"25116,03024",,,125,,,,,
100,92,Honduras,"425,655",,"10,902 ",,"132,430",,"282,323",105,"41,686","1,068","1,387,113","135,847","10,210,881 ",North America,249377,,,"27,649",,,,,
101,93,Armenia,"423,006",,"8,629 ",,"412,661",,"1,716",,"142,234","2,901","3,109,931","1,045,703","2,974,010 ",Asia,73451,,,577,,,,,
102,94,Réunion,"418,585",,796 ,,"415,360",,"2,429",10,"461,131",877,"1,603,660","1,766,661","907,735 ",Africa,"21,1401",,,"2,676",,,,,
103,95,Oman,"389,758",,"4,260 ",,"384,669",,829,2,"72,728",795,"25,000,000","4,664,971","5,359,090 ",Asia,"141,2580",,,155,,,,,
104,96,Bosnia and Herzegovina,"378,112",,"15,793 ",,N/A,N/A,N/A,,"116,660","4,873","1,782,950","550,096","3,241,159 ",Europe,92052,,,"52,482",,,,,
105,97,Qatar,"372,704",,677 ,,"369,363",,"2,664",,"132,739",241,"3,590,034","1,278,591","2,807,805 ",Asia,"84,1471",,,949,,,,,
106,98,Kenya,"327,145",,"5,651 ",,"319,669",,"1,825",,"5,834",101,"3,703,840","66,053","56,073,862 ",Africa,"1719,92315",,,33,,,,,
107,99,Zambia,"323,283",,"3,989 ",,"318,247",,"1,047",,"16,677",206,"3,507,848","180,959","19,384,745 ",Africa,"604,8606",,,54,,,,,
108,100,North Macedonia,"312,607",,"9,316 ",,"302,892",,399,,"150,060","4,472","2,057,112","987,473","2,083,208 ",Europe,72241,,,192,,,,,
109,101,Botswana,"310,431",,"2,701 ",,"304,887",,"2,843",1,"127,021","1,105","2,026,898","829,358","2,443,936 ",Africa,89051,,,"1,163",,,,,
110,102,Albania,"276,731",,"3,497 ",,"272,893",,341,2,"96,365","1,218","1,835,130","639,042","2,871,689 ",Europe,108212,,,119,,,,,
111,103,Algeria,"265,937",,"6,875 ",,"178,442",,"80,620",6,"5,859",151,"230,861","5,086","45,390,507 ",Africa,"1716,602197",,,"1,776",,,,,
112,104,Nigeria,"256,352",,"3,144 ",,"250,131",,"3,077",11,"1,186",15,"5,198,572","24,060","216,071,476 ",Africa,"84368,72542",,,14,,,,,
113,105,Zimbabwe,"254,155",,"5,521 ",,"246,556",,"2,078",12,"16,629",361,"2,361,244","154,495","15,283,591 ",Africa,"602,7686",,,136,,,,,
