,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
114,106,Luxembourg,"251,873",,"1,084 ",,"245,443",,"5,346",,"390,030","1,679","4,275,297","6,620,382","645,778 ",Europe,35960,,,"8,278",,,,,
115,107,Uzbekistan,"239,272",,"1,637 ",,"237,441",,194,23,"6,953",48,"1,377,915","40,041","34,412,290 ",Asia,"14421,02225",,,6,,,,,
116,108,Montenegro,"237,945",,"2,722 ",,"234,768",,455,6,"378,760","4,333","2,485,184","3,955,907","628,221 ",Europe,32310,,,724,,,,,
117,109,Mozambique,"226,481",,"2,206  ",,"223,783",,492,13,"6,872",67,"1,335,374","40,518","32,957,580 ",Africa,"14614,94025",,,15,,,,,
118,110,Laos,"210,158",,757 ,,N/A,N/A,N/A,,"28,093",101,"1,233,207","164,849","7,480,827 ",Asia,"369,8826",,,"26,968",,,,,
119,111,Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,850",444,"1,907,195","283,241","6,733,469 ",Asia,"342,2514",,,237,,,,,
120,112,Iceland,"190,014",,153 ,,N/A,N/A,N/A,1,"549,890",443,"1,958,282","5,667,162","345,549 ",Europe,"22,2580",,,"330,419",,,,,
121,113,Martinique,"182,791",,943 ,,104,,"181,744",8,"487,834","2,517","828,928","2,212,250","374,699 ",North America,23970,,,"485,040",,,,,
122,114,Afghanistan,"180,864",,"7,709 ",,"163,215",,"9,940","1,124","4,451",190,"971,529","23,910","40,632,673 ",Asia,"2255,27142",,,245,,,,,
123,115,Maldives,"179,979",,299 ,,"163,687",,"15,993",25,"321,935",535,"2,213,831","3,959,966","559,053 ",Asia,"31,8700",,,"28,607",,,,,
124,116,Namibia,"168,448",,"4,049 ",,"162,463",,"1,936",,"64,040","1,539","1,050,977","399,555","2,630,367 ",Africa,166503,,,736,,,,,
125,117,Uganda,"166,319",,"3,602 ",,"100,395",,"62,322",6,"3,426",74,"2,731,155","56,256","48,548,800 ",Africa,"29213,47818",,,"1,284",,,,,
126,118,Trinidad and Tobago,"164,829",,"3,965 ",,"152,814",,"8,050",18,"117,041","2,815","760,781","540,213","1,408,299 ",North America,93552,,,"5,716",,,,,
127,119,El Salvador,"164,134",,"4,135 ",,"158,594",,"1,405",8,"25,059",631,"2,219,800","338,909","6,549,835 ",North America,"401,5843",,,215,,,,,
128,120,Guadeloupe,"162,190",,949 ,,"2,250",,"158,991",19,"405,215","2,371","938,039","2,343,592","400,257 ",North America,24220,,,"397,222",,,,,
129,121,Ghana,"161,935",,"1,445 ",,"160,089",,401,,"5,008",45,"2,455,067","75,929","32,333,890 ",Africa,"20022,37613",,,12,,,,,
130,122,Brunei ,"153,611",,225 ,,"150,550",,"2,836",,"344,710",505,"717,784","1,610,739","445,624 ",Asia,"31,9811",,,"6,364",,,,,
131,123,Jamaica,"140,670",,"3,084 ",,"88,864",,"48,722",,"47,105","1,033","1,117,306","374,145","2,986,295 ",North America,219683,,,"16,315",,,,,
132,124,Cambodia,"136,262",,"3,056 ",,"133,206",,0,,"7,937",178,"2,978,201","173,465","17,168,838 ",Asia,"1265,6186",,,,,,,,
133,125,Rwanda,"130,375",,"1,459 ",,"45,522",,"83,394",,"9,603",107,"5,494,233","404,691","13,576,353 ",Africa,"1049,3052",,,"6,143",,,,,
134,126,Cameroon,"119,947",,"1,930 ",,"117,791",,226,13,"4,310",69,"1,751,774","62,945","27,830,381 ",Africa,"23214,42016",,,8,,,,,
135,127,Angola,"99,761",,"1,900 ",,"97,149",,712,,"2,862",55,"1,499,795","43,031","34,853,471 ",Africa,"34918,34423",,,20,,,,,
136,128,Malta,"96,290",,727 ,,"93,412",,"2,151",4,"216,953","1,638","1,938,234","4,367,074","443,829 ",Europe,56100,,,"4,846",,,,,
137,129,DRC,"89,932",,"1,345 ",,"50,930",,"37,657",,948,14,"846,704","8,926","94,853,927 ",Africa,"1,05570,523112",,,397,,,,,
138,130,Senegal,"86,170",,"1,967 ",,"84,186",,17,,"4,896",112,"1,102,286","62,624","17,601,640 ",Africa,"2048,94816",,,1.0,,,,,
139,131,Malawi,"86,107",,"2,642 ",,"82,932",,533,67,"4,286",132,"586,740","29,204","20,090,863 ",Africa,"2337,60434",,,27,,,,,
140,132,French Guiana,"84,507",,399 ,,"11,254",,"72,854",1,"269,361","1,272","644,972","2,055,812","313,731 ",South America,47860,,,"232,218",,,,,
141,133,Ivory Coast,"82,492",,799 ,,"81,591",,102,,"2,984",29,"1,532,951","55,445","27,648,050 ",Africa,"33534,60318",,,4,,,,,
142,134,Barbados,"82,318",,468 ,,"80,678",,"1,172",,"285,768","1,625","694,258","2,410,124","288,059 ",North America,36160,,,"4,069",,,,,
143,135,Suriname,"80,673",,"1,352 ",,"49,526",,"29,795",,"135,164","2,265","237,519","397,953","596,852 ",South America,74413,,,"49,920",,,,,
144,136,Channel Islands,"77,006",,176 ,,"76,220",,610,,"435,114",994,"1,252,808","7,078,851","176,979 ",Europe,"21,0060",,,"3,447",,,,,
145,137,French Polynesia,"73,106",,649 ,,N/A,N/A,N/A,7,"257,357","2,285",,,"284,065 ",Australia/Oceania,4438,,,"137,141",,,,,
146,138,Eswatini,"72,904",,"1,410 ",,"71,378",,116,11,"61,599","1,191","1,031,608","871,644","1,183,520 ",Africa,168391,,,98,,,,,
147,139,Guyana,"65,926",,"1,240 ",,"63,706",,980,,"83,037","1,562","645,436","812,962","793,931 ",South America,126401,,,"1,234",,,,,
148,140,Fiji,"65,217",,865 ,,"63,246",,"1,106",,"71,740",952,"547,562","602,329","909,075 ",Australia/Oceania,"141,0512",,,"1,217",,,,,
149,141,Madagascar,"64,685",,"1,396 ",,"63,006",,283,6,"2,225",48,"453,438","15,596","29,074,832 ",Africa,"44920,82764",,,10,,,,,
150,142,New Caledonia,"62,487",,313 ,,"61,746",,428,9,"214,855","1,076","98,964","340,277","290,834 ",Australia/Oceania,59293,,,"1,472",,,,,
151,143,Sudan,"62,475",,"4,950 ",,N/A,N/A,N/A,,"1,363",108,"562,941","12,281","45,839,520 ",Africa,"7349,26181",,,375,,,,,
152,144,Belize,"61,150",,678 ,,"58,605",,"1,867",6,"148,544","1,647","576,016","1,399,245","411,662 ",North America,76071,,,"4,535",,,,,
153,145,Bhutan,"59,644",,21 ,,"59,616",,7,,"75,678",27,"2,303,734","2,923,045","788,128 ",Asia,"1337,5300",,,9,,,,,
154,146,Mauritania,"59,252",,982 ,,"58,158",,112,,"12,124",201,"843,713","172,636","4,887,233 ",Africa,"824,9776",,,23,,,,,
155,147,Cabo Verde,"57,096",,402 ,,"56,137",,557,23,"100,569",708,"401,416","707,057","567,728 ",Africa,"101,4121",,,981,,,,,
156,148,Syria,"55,907",,"3,150 ",,"52,733",,24,,"3,051",172,"146,269","7,981","18,327,090 ",Asia,"3285,818125",,,1,,,,,
157,149,Gabon,"47,711",,304 ,,"47,322",,85,,"20,496",131,"1,598,933","686,878","2,327,828 ",Africa,"497,6571",,,37,,,,,
158,150,Papua New Guinea,"44,644",,658 ,,"43,960",,26,7,"4,813",71,"249,149","26,858","9,276,518 ",Australia/Oceania,"20814,09837",,,3,,,,,
159,151,Seychelles,"44,363",,167 ,,"43,905",,291,,"445,720","1,678",,,"99,531 ",Africa,2596,,,"2,924",,,,,
160,152,Curaçao,"44,127",,277 ,,"43,567",,283,3,"266,793","1,675","496,693","3,003,017","165,398 ",North America,45970,,,"1,711",,,,,
161,153,Andorra,"43,224",,153 ,,"42,810",,261,14,"557,693","1,974","249,838","3,223,508","77,505 ",Europe,25070,,,"3,368",,,,,
162,154,Burundi,"42,248",,38 ,,N/A,N/A,N/A,,"3,359",3,"345,742","27,485","12,579,153 ",Africa,"298331,03036",,,"3,294",,,,,
163,155,Aruba,"39,057",,216 ,,"37,058",,"1,783",1,"362,825","2,007","177,885","1,652,485","107,647 ",North America,34981,,,"16,563",,,,,
164,156,Mauritius,"38,060",,996 ,,"36,416",,648,,"29,831",781,"358,675","281,122","1,275,871 ",Africa,"341,2814",,,508,,,,,
165,157,Mayotte,"37,523",,187 ,,"2,964",,"34,372",,"131,378",655,"176,919","619,440","285,611 ",Africa,"81,5272",,,"120,346",,,,,
166,158,Togo,"37,200",,273 ,,"36,865",,62,,"4,298",32,"746,290","86,217","8,655,912 ",Africa,"23331,70712",,,7,,,,,
167,159,Guinea,"36,597",,442 ,,"36,113",,42,8,"2,647",32,"660,107","47,747","13,825,236 ",Africa,"37831,27921",,,3,,,,,
168,160,Tanzania,"35,354",,840 ,,N/A,N/A,N/A,7,561,13,,,"63,041,475 ",Africa,"1,78375,049",,,545,,,,,
169,161,Bahamas,"35,351",,812 ,,"33,470",,"1,069",,"88,256","2,027","235,192","587,173","400,550 ",North America,114932,,,"2,669",,,,,
170,162,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"704,087",569,"778,000","15,805,298","49,224 ",Europe,"11,7580",,,"547,233",,,,,
171,163,Isle of Man,"33,251",,107 ,,"26,794",,"6,350",,"387,054","1,246","150,753","1,754,819","85,908 ",Europe,38031,,,"73,916",,,,,
172,164,Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,129",320,"431,221","198,238","2,175,268 ",Africa,"663,1215",,,"3,704",,,,,
173,165,Mali,"31,127",,736 ,,"30,280",,111,,"1,456",34,"691,740","32,348","21,384,618 ",Africa,"68729,05531",,,5,,,,,
174,166,Haiti,"31,004",,837 ,,"29,750",,417,,"2,656",72,"132,422","11,344","11,672,793 ",North America,"37613,94688",,,36,,,,,
175,167,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,115",13,"604,310","47,432","12,740,457 ",Africa,"47378,16221",,,101,,,,,
176,168,Somalia,"26,675",,"1,350 ",,"13,182",,"12,143",,"1,592",81,"400,466","23,901","16,755,128 ",Africa,"62812,41142",,,725,,,,,
177,169,Saint Lucia,"26,584",,376 ,,"25,881",,327,2,"143,496","2,030","206,642","1,115,422","185,259 ",North America,74931,,,"1,765",,,,,
178,170,Cayman Islands,"25,318",,28 ,,"8,553",,"16,737",1,"376,627",417,"222,773","3,313,940","67,223 ",North America,"32,4010",,,"248,977",,,,,
179,171,Congo,"24,128",,385 ,,"20,178",,"3,565",,"4,173",67,"347,815","60,154","5,782,115 ",Africa,"24015,01817",,,617,,,,,
180,172,Timor-Leste,"22,928",,133 ,,"22,774",,21,,"16,769",97,"268,125","196,103","1,367,265 ",Asia,"6010,2805",,,15,,,,,
181,173,Solomon Islands,"21,237",,149 ,,"16,357",,"4,731",1,"29,511",207,"5,117","7,111","719,628 ",Australia/Oceania,"344,830141",,,"6,574",,,,,
182,174,Burkina Faso,"20,853",,382 ,,"20,439",,32,,947,17,"248,995","11,309","22,017,453 ",Africa,"1,05657,63788",,,1,,,,,
183,175,Gibraltar,"18,806",,102 ,,"16,579",,"2,125",,"558,522","3,029","534,283","15,867,750","33,671 ",Europe,23300,,,"63,111",,,,,
184,176,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,728",33,,,"6,777,797 ",North America,"36730,124",,,"2,072",,,,,
185,177,Grenada,"18,035",,231 ,,"17,523",,281,4,"158,847","2,035","168,212","1,481,561","113,537 ",North America,64921,,,"2,475",,,,,
186,178,South Sudan,"17,644",,138 ,,"13,644",,"3,862",1,"1,541",12,"401,608","35,078","11,448,890 ",Africa,"64982,96329",,,337,,,,,
187,179,Liechtenstein,"17,628",,85 ,,"17,478",,65,2,"459,769","2,217","102,174","2,664,876","38,341 ",Europe,24510,,,"1,695",,,,,
188,180,Tajikistan,"17,388",,124 ,,"17,264",,0,,"1,747",12,,,"9,954,095 ",Asia,"57280,275",,,,,,,,
189,181,San Marino,"17,124",,115 ,,"16,910",,99,4,"502,612","3,375","152,231","4,468,183","34,070 ",Europe,22960,,,"2,906",,,,,
190,182,Equatorial Guinea,"15,945",,183 ,,"15,716",,46,5,"10,683",123,"333,092","223,166","1,492,576 ",Africa,"948,1564",,,31,,,,,
191,183,Djibouti,"15,686",,189 ,,"15,427",,70,,"15,440",186,"305,941","301,143","1,015,934 ",Africa,"655,3753",,,69,,,,,
192,184,Bermuda,"15,428",,138 ,,"14,901",,389,,"249,519","2,232","931,509","15,065,404","61,831 ",North America,44480,,,"6,291",,,,,
193,185,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,934",23,"81,294","16,282","4,993,027 ",Africa,"34144,18661",,,"1,538",,,,,
194,186,Dominica,"14,638",,67 ,,"14,284",,287,,"202,367",926,"207,131","2,863,536","72,334 ",North America,"51,0800",,,"3,968",,,,,
195,187,Samoa,"14,315",,28 ,,"1,605",,"12,682",4,"71,227",139,"133,069","662,111","200,977 ",Australia/Oceania,"147,1782",,,"63,102",,,,,
196,188,Monaco,"12,489",,57 ,,"12,310",,122,4,"313,928","1,433","66,898","1,681,573","39,783 ",Europe,36981,,,"3,067",,,,,
197,189,Gambia,"12,002",,365 ,,"11,591",,46,,"4,709",143,"155,686","61,086","2,548,640 ",Africa,"2126,98316",,,18,,,,,
198,190,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,161",369,"164,926","2,895,420","56,961 ",North America,"52,7120",,,"161,321",,,,,
199,191,Tonga,"11,909",,12 ,,"11,517",,380,,"110,244",111,"535,009","4,952,686","108,024 ",Australia/Oceania,"99,0020",,,"3,518",,,,,
200,192,Yemen,"11,822",,"2,149 ",,"9,107",,566,23,380,69,"265,253","8,528","31,102,983 ",Asia,"2,63114,473117",,,18,,,,,
201,193,Saint Martin,"10,668",,63 ,,"1,399",,"9,206",7,"267,047","1,577","112,382","2,813,207","39,948 ",North America,46340,,,"230,450",,,,,
202,194,Vanuatu,"10,575",,14 ,,"10,263",,298,1,"32,934",44,"24,976","77,783","321,097 ",Australia/Oceania,"3022,93613",,,928,,,,,
203,195,Sint Maarten,"10,508",,86 ,,"10,368",,54,10,"239,788","1,962","62,056","1,416,092","43,822 ",North America,45101,,,"1,232",,,,,
204,196,Caribbean Netherlands,"10,219",,35 ,,"10,145",,39,,"382,777","1,311","30,126","1,128,441","26,697 ",North America,37631,,,"1,461",,,,,
205,197,Eritrea,"9,771",,103 ,,"9,663",,5,,"2,683",28,"23,693","6,506","3,641,853 ",Africa,"37335,358154",,,1,,,,,
206,198,Niger,"9,031",,310 ,,"8,628",,93,1,349,12,"254,538","9,824","25,909,734 ",Africa,"2,86983,580102",,,4,,,,,
207,199,Antigua and Barbuda,"8,531",,140 ,,"8,235",,156,1,"85,734","1,407","18,901","189,948","99,506 ",North America,127115,,,"1,568",,,,,
208,200,Guinea-Bissau,"8,306",,171 ,,"8,076",,59,6,"4,035",83,"140,579","68,295","2,058,422 ",Africa,"24812,03815",,,29,,,,,
209,201,Comoros,"8,100",,160 ,,"7,933",,7,,"8,944",177,,,"905,613 ",Africa,"1125,660",,,8,,,,,
210,202,Sierra Leone,"7,685",,125 ,,N/A,N/A,N/A,,927,15,"259,958","31,349","8,292,350 ",Africa,"1,07966,33932",,,331,,,,,
211,203,Liberia,"7,459",,294 ,,"5,747",,"1,418",2,"1,410",56,"139,824","26,438","5,288,769 ",Africa,"70917,98938",,,268,,,,,
212,204,Chad,"7,420",,193 ,,"4,874",,"2,353",,428,11,"191,341","11,033","17,342,051 ",Africa,"2,33789,85591",,,136,,,,,
213,205,St. Vincent Grenadines,"6,969",,108 ,,"6,641",,220,,"62,432",968,"99,956","895,462","111,625 ",North America,"161,0341",,,"1,971",,,,,
214,206,British Virgin Islands,"6,902",,63 ,,N/A,N/A,N/A,1,"225,394","2,057","104,740","3,420,417","30,622 ",North America,44860,,,"2,221",,,,,
215,207,Turks and Caicos,"6,160",,36 ,,"6,086",,38,4,"155,027",906,"521,408","13,122,134","39,735 ",North America,"61,1040",,,956,,,,,
216,208,Sao Tome and Principe,"6,010",,73 ,,"5,930",,7,,"26,467",321,"29,036","127,872","227,071 ",Africa,"383,1118",,,31,,,,,
217,209,Saint Kitts and Nevis,"5,852",,43 ,,"5,759",,50,,"108,509",797,"88,974","1,649,775","53,931 ",North America,"91,2541",,,927,,,,,
218,210,Cook Islands,"5,717",,1 ,,"5,705",,11,,"324,922",57,"19,314","1,097,698","17,595 ",Australia/Oceania,"317,5951",,,625,,,,,
219,211,Palau,"5,145",,6 ,,"4,461",,678,1,"281,733",329,"58,092","3,181,032","18,262 ",Australia/Oceania,"43,0440",,,"37,126",,,,,
220,212,St. Barth,"4,630",,6 ,,N/A,N/A,N/A,,"465,982",604,"78,646","7,915,258","9,936 ",North America,"21,6560",,,"418,881",,,,,
221,213,Anguilla,"3,374",,9 ,,"3,335",,30,4,"221,057",590,"51,382","3,366,442","15,263 ",North America,"51,6960",,,"1,966",,,,,
222,214,Kiribati,"3,209",,13 ,,"2,623",,573,3,"26,087",106,,,"123,012 ",Australia/Oceania,"389,462",,,"4,658",,,,,
223,215,Saint Pierre Miquelon,"2,765",,1 ,,"2,449",,315,1,"481,791",174,"23,978","4,178,080","5,739 ",North America,"25,7390",,,"54,888",,,,,
224,216,Falkland Islands,"1,733",, ,,N/A,N/A,N/A,,"471,308",,"8,632","2,347,566","3,677 ",South America,20,,,"437,585",,,,,
225,217,Montserrat,"1,012",,8 ,,991,,13,,"202,481","1,601","13,361","2,673,269","4,998 ",North America,56250,,,"2,601",,,,,
226,218,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,,,,,,
227,219,Wallis and Futuna,454,,7 ,,438,,9,,"41,816",645,"20,508","1,888,920","10,857 ",Australia/Oceania,"241,5511",,,829,,,,,
228,220,Macao,83,, ,,83,,0,,125,,"5,584","8,378","666,545 ",Asia,"8,031119",,,,,,,,
229,221,Micronesia,35,, ,,33,,2,,298,,"21,923","186,790","117,367 ",Australia/Oceania,"3,3535",,,17,,,,,
230,222,Vatican City,29,, ,,29,,0,,"36,025",,,,805 ,Europe,28,,,,,,,,
231,223,Marshall Islands,18,, ,,17,,1,,300,,,,"59,967 ",Australia/Oceania,"3,332",,,17,,,,,
232,224,Nauru,13,, ,,8,,5,,"1,187",,,,"10,956 ",Australia/Oceania,843,,,456,,,,,
233,225,Western Sahara,10,,1 ,,9,,0,,16,2,,,"625,888 ",Africa,"62,589625,888",,,,,,,,
234,226,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,,,,
235,227,Niue,9,, ,,9,,0,,"5,464",,,,"1,647 ",Australia/Oceania,183,,,,,,,,
236,228,Tuvalu,3,, ,,,,3,,248,,,,"12,075 ",Australia/Oceania,"4,025",,,248,,,,,
237,229,Saint Helena,2,, ,,2,,0,,327,,,,"6,112 ",Africa,"3,056",,,,,,,,
238,230,China,"224,977",+95,"5,226 ",,"218,832",+62,919,14,156,4,"160,000,000","111,163","1,439,323,776 ",Asia,"6,398275,4169",0.07,,0.6,,,,,
239,,Total:,"103,258,063","+1,688","1,479,802",+11,"97,104,243","+4,032","4,674,018","8,172",,,,,,North America, ,,,,,,,,
240,,Total:,"158,968,791","+44,506","1,435,200",+21,"152,984,004","+58,928","4,549,587","10,586",,,,,,Asia, ,,,,,,,,
241,,Total:,"58,505,649",,"1,301,112",,"55,484,071",,"1,720,466","10,530",,,,,,South America, ,,,,,,,,
242,,Total:,"198,863,765",,"1,847,912",,"190,430,479",,"6,585,374","5,766",,,,,,Europe, ,,,,,,,,
243,,Total:,"9,218,629","+23,589","13,084",+44,"8,848,744","+5,878","356,801",126,,,,,,Australia/Oceania, ,,,,,,,,
244,,Total:,"12,207,688",,"255,338",,"11,414,180",,"538,170",988,,,,,,Africa, ,,,,,,,,
245,,Total:,721,,15,,706,,0,0,,,,,,, ,,,,,,,,
246,,Total:,"541,023,306","+69,783","6,332,463",+76,"516,266,427","+82,647","18,424,416","36,168","69,408.2",812.4,,,,All,,,,,,,,,
